공고명,링크,자격요건
합격보상금 100만원,https://www.wanted.co.kr/wd/334859,"• 학력: 무관
• 전기·전자·기계·로봇공학 전반에 대한 이해
• 전자·기계 장비 조작 및 유지보수에 대한 기본 지식 보유자
• 해외 출장에 결격 사유가 없는 분
• 운전 가능자 (차량 제공)
상세 정보 더 보기
태그
유망산업
커피·스낵바
편의시설
자기계발지원
건강검진지원
사내동호회
50명이하
설립4~9년
인원 급성장
연봉상위11~20%
AI 선도 기업
누적투자100억이상
퓨처플레이 투자기업
마감일
상시채용
근무지역
서울특별시 종로구 대학로 60 동마루빌딩 2층
메디인테크
제조
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/322198,"• 기계ㆍ기구 설계 경력 10년 이상 (유관업무 경력만 인정)
• 총 부품 50~100여개 parts 개발 및 관리.운용 경험
• 양산 제품/부품 설계 및 제조/제작 프로세스 경험
• 3D CAD(UG/NX , Solidworks, CATIA, Pro-E/CREO 등)툴 활용 능숙
• 2D 도면 작성능력 (임가공, 금형부품도, 양산화 도면 등) 능숙
• 다양한 소재(금속, 플라스틱, 신소재 등) 및 제작/가공 방식에 대한 경험
• 설계 품질 검토 및 개선 고도화 경험
• 양산 이관 및 생산기술 문서 작성
• 제품생산, 양산 F/U
상세 정보 더 보기
태그
커피·스낵바
건강검진지원
자율복장
유망산업
편의시설
51~300명
설립4~9년
연봉상위2~5%
복지포인트
자유로운휴가
누적투자100억이상
마감일
상시채용
근무지역
서울시 송파구 정의로8길 9 AJ빌딩 본관 3층
니어스랩
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/311938,"• Foreign applicants are welcome (must reside in Korea)
• Fluent in English recommended
• Bachelor’s, Master’s, or PhD in Mechatronics, Electrical, Mechanical, Aerospace, or related engineering discipline
• 5+ years of experience in cross-functional hardware development (mechanical, electrical, and embedded systems)
• Hands-on experience building custom drones, FPV rigs, VTOLs, or UAV subsystems
• Proficiency in Altium Designer and embedded C/C++ development
• Experience with CAD tools for mechanical design and integration
• Strong understanding of embedded systems, microcontrollers, sensors, actuators, and power systems
• Experience with flight controller platforms (e.g., PX4, Pixhawk) and common communication protocols (SPI, I2C, UART, CAN, Ethernet)
• Hands-on experience with prototyping, debugging, and testing integrated hardware systems

• 외국인 지원 가능 (단, 국내 거주 필수)
• 영어 비즈니스 회화 수준
• 전자/기계/항공/메카트로닉스 관련 전공 학사 이상
• 관련 경력 5년 이상 (전기·기계·임베디드 시스템 크로스 펑셔널 개발 경험)
• Altium Designer 및 임베디드 C/C++ 개발 숙련
• CAD 툴 기반 기계 설계 및 통합 경험
• 마이크로컨트롤러, 센서, 액추에이터, 전력 시스템 이해
• 플라이트 컨트롤러 플랫폼(PX4, Pixhawk 등) 및 SPI, I2C, UART, CAN, Ethernet 등 프로토콜 경험
• 프로토타이핑, 디버깅, 통합 하드웨어 시스템 테스트 경험
상세 정보 더 보기
태그
스톡옵션
AI 선도 기업
대규모 채용 중
누적투자100억이상
재택근무
마감일
상시채용
근무지역
서울 서초구 나루터로 59, 4층
카이트다이나믹스
전문, 과학기술
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/328567,"• 로봇, 제어, 기계, 컴퓨터공학 등 관련 전공 학사 이상 또는 이에 준하는 경력 보유
• 5년 이상의 로봇 제어 시스템 개발 혹은 소프트웨어 엔지니어링 및 C/C++ 업무 경험
• 선형 제어 이론 및 시스템 모델링에 대한 이해
• 업무에 몰입하여 팀의 목표에 기여하는 성과를 창출하며 동시에 개인의 성장을 도모할 수 있는 역량 보유
• 동료들과의 원활한 커뮤니케이션 역량 보유
상세 정보 더 보기
태그
복지포인트
보너스
단체보험
어린이돌봄
장비지원
커피·스낵바
대출지원
연봉상위2~5%
1,001~10,000명
설립10년이상
워크샵
적극 채용 중
AI 선도 기업
누적투자100억이상
대기업
대규모 채용 중
유망산업
마감일
상시채용
근무지역
서울시 송파구 위례성대로2 장은빌딩
우아한형제들(배달의민족)
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/326645,"-Siemens Process Simulate 실무 경험 2년 이상
-산업용 로봇 프로그래밍 및 동작 원리에 대한 이해
-생산 공정 및 자동화 라인에 대한 기본 이해
상세 정보 더 보기
태그
식대지원
적극 채용 중
퓨처플레이 투자기업
마감일
상시채용
근무지역
서울 강남구 테헤란로26길 14, 4-103
로아이
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/256489,"[ 이런 분과 함께 하고 싶어요! ]

· 로봇공학, 기계공학 또는 유관 전공 학사 학위 이상 소지자(졸업예정자 지원 가능)
· SolidWorks 또는 유사한 3D CAD 툴 사용 가능자
· 협업 및 커뮤니케이션 능력
· 새로운 도전을 즐기고, 조직 문화를 함께 만들어 갈 분
· 스스로 동기부여를 잘하시는 분
상세 정보 더 보기
태그
커피·스낵바
유망산업
50명이하
설립3년이하
인원 급성장
퇴사율5%이하
유급휴가
자유로운휴가
건강검진지원
아기 유니콘
식대지원
마감일
상시채용
근무지역
인천광역시 연수구 송도과학로16번길 13-39, 12층
에이블랩스
제조
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/293259,"• 6년이상 12년 이하의 설계 또는 개발 및 양산 업무 경력
• 3D CAD 툴(Solidworks)을 사용하여 아이디어를 시각화 하고 구현 가능하신 분
• 금속 가공, 판금, 금형 등 다양한 제조 방식에 대한 이해 및 경험 있으신 분
• 전반적인 개발, 평가, 양산 프로세스 대한 이해 및 경험이 있으신 분
상세 정보 더 보기
태그
장비지원
자기계발지원
커피·스낵바
휴가비
51~300명
설립4~9년
유망산업
인원 급성장
연봉상위11~20%
AI 선도 기업
누적투자100억이상
마감일
상시채용
근무지역
왕십리로 115, 2층
뉴빌리티
제조
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/342425,"• 기계공학, 메카트로닉스 등 관련 전공 학사 이상, 기구설계 실무 3년 이상
• 정밀기구 구동부 활용 및 메커니즘 설계 수행 경험
• 3D/2D CAD 및 도면 작성 가능
• 로봇 구동부 메커니즘에 대한 이해 및 기본적인 구조 설계 역량
• 구조해석에 대한 기본적인 이해를 바탕으로 설계 검증 및 개선 가능
상세 정보 더 보기
태그
자기계발지원
유망산업
보너스
커피·스낵바
50명이하
설립4~9년
연봉상위6~10%
인원 급성장
AI 선도 기업
누적투자100억이상
마감일
2026.03.10
근무지역
경기 성남시 분당구 성남대로331번길 8, 1702호
플라잎
IT, 컨텐츠
팔로우"
합격보상금 20만원,https://www.wanted.co.kr/wd/341631,"• 학력: 무관
• 경력: 무관
• 격주 토요일 09:00~12:00 근무 가능자
고용조건
• 계약직 1년
평가결과에 따라 계약 연장가능
상세 정보 더 보기
태그
의료비지원
장비지원
대출지원
51~300명
인원 급성장
설립10년이상
연봉 업계평균이상
마감일
2026.03.27
근무지역
서울 서초구 서초대로 344 KB빌딩 8층
티지에스(TGS)
기타 서비스업
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/341603,"ㆍ하드웨어 아키텍쳐 설계 및 회로 검증 경력 3년 이상
ㆍ전장 도면, BOM, 매뉴얼등 설계 문서 작성 및 관리 역량
ㆍ하드웨어 검증 및 안정성 확보 가능한 분
ㆍ출장 수행에 결격 사유가 없는 분
상세 정보 더 보기
태그
출산휴가
식대지원
자기계발지원
건강검진지원
보너스
사내동호회
육아휴직
연봉상위1%
51~300명
설립10년이상
원티드 픽
누적투자100억이상
마감일
2026.03.02
근무지역
인천광역시 연수구 하모니로 187번길 33
유진로봇
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/340418,"＞경력: 산업 자동화, 시스템 통합(SI) 또는 관련 엔지니어링 프로젝트 실무 경험
＞기술 역량: PLC, SCADA, HMI 등 자동화 솔루션에 대한 기술적 이해 및 현장 적용 능력
＞비즈니스 마인드: 기술적 전문성을 바탕으로 잠재적 시장 기회를 포착하고 전략적으로 사고하는 능력
상세 정보 더 보기
태그
외국인 지원 가능
유리한 지원 경쟁률
마감일
상시채용
근무지역
서울 마포구 성산동 646-15
루나테크놀로지
기타 서비스업
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/330986,"• 로봇, 제어, 기계, 전기, 메카트로닉스, 인공지능 관련 전공 박사 학위 이상
• 관련 분야 경력 5년 이상 (박사 후 연구원, 기업 R&D 경력 포함)
• 로봇 동역학, 제어 이론에 대한 탄탄한 이해
• C/C++ 및 Matlab 기반 제어 알고리즘 구현 경험
• 실제 로봇 시스템을 대상으로 한 실험·검증 경험
상세 정보 더 보기
기술 스택 • 툴
MATLAB
태그
자기계발지원
유망산업
보너스
커피·스낵바
50명이하
설립4~9년
연봉상위6~10%
인원 급성장
AI 선도 기업
누적투자100억이상
마감일
2026.03.03
근무지역
경기 성남시 분당구 성남대로331번길 8, 1702호
플라잎
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/338745,"• 5년 이상의 기계 설계 업무 경력
• 2D & 3D CAD 활용 능력 (AutoCAD, CATIA, SOLIDWORKS, etc.)
• 긍정적인 마인드 소유자
상세 정보 더 보기
태그
식대지원
커피·스낵바
보너스
출산휴가
50명이하
설립4~9년
퇴사율6~10%
자기계발지원
인원 급성장
건강검진지원
연봉상위6~10%
외국인 지원 가능
유리한 지원 경쟁률
마감일
2026.04.29
근무지역
인천광역시 연수구 송도과학로 32 송도테크노파크IT센터 M동1101호, 1601호
알티올
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/268464,"• 유관 경력 4년 이상 보유자 (대리~차장급)
• 기계공학 학사 이상
• 기구설계 경력자
상세 정보 더 보기
태그
식대지원
건강검진지원
커피·스낵바
사내동호회
51~300명
설립10년이상
인원 급성장
연봉상위11~20%
자기계발지원
복지포인트
누적투자100억이상
유망산업
마감일
상시채용
근무지역
경기 성남시 분당구 판교로700
리브스메드
제조
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/279522,"• 유관 경력 4년 이상 보유자 (대리~차장급)
• 기계/산업/정밀기계공학 등 또는 유관 전공 학사 이상
• 조립 공정 또는 제품기술 업무에 대한 경험이 풍부한 자
• 문서화 역량 (공정 문서, 작업표준서, 개선 보고서 등) 보유자
• 문제 해결 중심의 업무 태도 및 개선 마인드 보유자
• 설계, 품질, 외주, 인허가 등 유관 부서와의 원활한 협업 역량 보유자
상세 정보 더 보기
태그
식대지원
건강검진지원
커피·스낵바
사내동호회
51~300명
설립10년이상
인원 급성장
연봉상위11~20%
자기계발지원
복지포인트
누적투자100억이상
유망산업
마감일
상시채용
근무지역
경기 성남시 분당구 판교로700
리브스메드
제조
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/295817,"• 기계/산업/정밀기계공학 또는 유관학과 전공자, 학사 이상
• 관련 경력 15년 이상 보유자 (차장~부장급)
• 의료기기, 협동 로봇, 정밀 조립 시스템 전체의 자동화 셀 주도적으로 구축한 경험자
• SolidWorks 등 3D CAD Tool 사용 가능자
• 공정 품질지표(FTY, OEE, DPMO 등) 기반 분석 경험
• 조립 공정 또는 제품기술 업무에 대한 이해 및 경험이 있는자
• 문서화 역량 보유자 (공정 문서, 작업표준서, 개선 보고서 등)
• 문제 해결 중심의 업무 태도 및 개선 마인드 보유자
• 설계, 품질, 외주, 인허가 등 유관 부서와의 원활한 협업 역량 보유자
상세 정보 더 보기
태그
식대지원
건강검진지원
커피·스낵바
사내동호회
51~300명
설립10년이상
인원 급성장
연봉상위11~20%
자기계발지원
복지포인트
누적투자100억이상
유망산업
마감일
상시채용
근무지역
경기 성남시 분당구 판교로700
리브스메드
제조
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/266275,"• 유관 경력 5~18년 보유자 (대리~차장급)
• 기계 공학 계열 전공자 학사 이상
• 의료기기, 자동차, 반도체 설비 설계 경험자
• 소형부품 조립 자동화 설계 경험자
• 검사 장비 및 인덱스 스테이지 자동화 설계 경험자
• 직교 및 액츄에이터 이용한 설계 경험자
• 제어(PLC)와 CO-WORK 가능한 자
• 2D, 3D Tool 사용 가능한 자
• 실제 제품 양산화 작업 경험을 보유한 자
상세 정보 더 보기
태그
식대지원
건강검진지원
커피·스낵바
사내동호회
51~300명
설립10년이상
인원 급성장
연봉상위11~20%
자기계발지원
복지포인트
누적투자100억이상
유망산업
마감일
상시채용
근무지역
경기 성남시 분당구 판교로700
리브스메드
제조
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/250103,"• 유관 경력 3년 이상 보유자 (대리~차장급)
• 로봇 관련 기구 메커니즘 설계 경험자
• 학사 이상
상세 정보 더 보기
태그
식대지원
건강검진지원
커피·스낵바
사내동호회
51~300명
설립10년이상
인원 급성장
연봉상위11~20%
자기계발지원
복지포인트
누적투자100억이상
유망산업
마감일
상시채용
근무지역
경기 성남시 분당구 판교로700
리브스메드
제조
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/303756,"• 유관 경력 2년 이상 보유자 (대리~차장급)
• 수술용 기구 / 내시경 관련 기구설계 경험자
• 학사 이상
상세 정보 더 보기
태그
식대지원
건강검진지원
커피·스낵바
사내동호회
51~300명
설립10년이상
인원 급성장
연봉상위11~20%
자기계발지원
복지포인트
누적투자100억이상
유망산업
마감일
상시채용
근무지역
경기 성남시 분당구 판교로700
리브스메드
제조
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/303757,"• 유관 경력 8년 이상 보유자 (과장~부장급)
• 외관 설계 경험자
• 학사 이상
상세 정보 더 보기
태그
식대지원
건강검진지원
커피·스낵바
사내동호회
51~300명
설립10년이상
인원 급성장
연봉상위11~20%
자기계발지원
복지포인트
누적투자100억이상
유망산업
유연근무
마감일
상시채용
근무지역
경기 성남시 분당구 판교로700
리브스메드
제조
팔로우"
